Year,Name,Type,Status,Address,City,ZIP,Deets,latitude,longitude
2004,Las Mariposas,Rental (Non-LIHTC),Completed,438 South Evergreen Avenue,Los Angeles,90033,4 family units (Managed by ELACC),34.0363646,-118.2047297
2004,Las Mariposas,Rental (Non-LIHTC),Completed,2537 East Third Street,Los Angeles,90063,5 family units (Managed by ELACC),42.3365119,-71.0344087
2004,Las Mariposas,Rental (Non-LIHTC),Completed,621 North Cummings Street,Los Angeles,90033,4 family units (Managed by ELACC),34.0504737,-118.2114564
2004,Las Mariposas,Rental (Non-LIHTC),Completed,319 North Fickett Street,Los Angeles,90033,3 family units (Managed by ELACC),34.0448221,-118.2059673
2004,Las Mariposas,Rental (Non-LIHTC),Completed,2407 East First Street,Los Angeles,90033,5 family units (No Longer Exists),42.3382587,-71.0291558
2004,Paseo Del Sol,Rental (Non-LIHTC),Completed,417-419 Soto Street,Los Angeles,90033,7 family units (Managed by ELACC),32.747782,-117.2365426
2005,Las Casitas,Homeownership (Non-LIHTC),Completed,152 South Utah Street,Los Angeles,90033,39 detached townhomes,34.045974,-118.22525
2005,Lorena Terrace,Rental - 4% TCAC (LIHTC),Completed,611 South Lorena Street,Los Angeles,90023,49 family units,34.0306389,-118.199531
2005,Los Arbolitos (Kern Villa),Rental - 9% TCAC (LIHTC),Completed,200 North Kern Avenue,County of LA,90022,49 family units,34.0382458,-118.1627486
2005,Playground,Rental (Non-LIHTC),Completed,1462 North Playground Street,Los Angeles,90033,5 family units (Managed by ELACC),35.4635715,-82.9960297
2005,Las Flores,Rental - 4% TCAC (LIHTC),Completed,1063 S. Eastman Avenue,County of LA,90023,25 special needs / family units; Special needs,34.0355819,-118.1858789
Phase II: 2005-2015,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Vista Dunes Courtyard Homes,Rental - 9% TCAC (LIHTC),Completed,44-950 Vista Dunes Lane,La Quinta,92253,80 family units,33.7235389,-116.2879244
2009,Las Mariposas,Rental (Non-LIHTC),NA,Various: 438 Evergreen (4 un); 2537 E. 3rd Street (5 un); 621 N. Cummings (4 un); 319 N. Fickett (3 un),Los Angeles,NA,16 units,NA,NA
2011,Las Margaritas,Rental - 9% TCAC (LIHTC),Completed,319 Cummings Street,Los Angeles,90033,6 family units,44.0526488,-91.6658288
2011,Las Margaritas,Rental - 9% TCAC (LIHTC),Completed,137 N. Soto Street,Los Angeles,90033,20 family units,34.0444741,-118.209385
2011,Las Margaritas,Rental - 9% TCAC (LIHTC),Completed,115 N. Soto Street,Los Angeles,90033,16 family units,34.044295,-118.2095
2011,Cuatro Vientos,Rental - 9% TCAC (LIHTC),Completed,5331 E. Huntington Drive,Los Angeles,90032,25 family units,34.0783472,-118.1936698
2012,Boyle Hotel - Cummings Block,Rental - 9% TCAC (LIHTC); Mixed-Use,Completed,1781 E. 1st Street,Los Angeles,90033,51 family units; Commercial bottom floor,34.0473371,-118.2201413
2012,Blades,Rental - LAHD NSP (Non-LIHTC),Completed,811 Blades Street,Los Angeles,90033,3 family units (Managed by ELACC),34.0469956,-118.196412
2012,Alta Vista Apartments,Rental -9% TCAC (LIHTC),Completed,5051 E. 3rd Street,County of LA,90022,60 family units (Managed by CORE),33.7681435,-118.1344735
2013,Linda Vista Apartments Phase I,Rental -9% TCAC (LIHTC),Completed,610 - 630 S. Saint Louis Street,Los Angeles,90033,23 senior units,34.040731,-118.2163697
2013,Casa Del Mexicano,Commercial; Community Center; Mixed-Use,NA,529 Euclid Street,Los Angeles,90063,Community Facility,40.5755286,-75.4559502
2014,Small Multi Family,Rental (Non-LIHTC),Completed,207 S Boyle,Los Angeles,90033,2 units (No Longer Owned by ELACC),33.7027517,-90.7187898
2014,Guy Gabaldon Apartments,Rental - 9% TCAC (LIHTC); Mixed-Use,In Construction,3553 Beswick Street,Los Angeles,90033,33 homeless senior veterans units; Commercial; Special needs,34.0223534,-118.1996251
2014,Sol y Luna Apartments,Rental - 9% TCAC (LIHTC),In Construction,2415 & 2917-2935 E 1st Street,Los Angeles,90023,53 family units,NA,NA
2015,Linda Vista Apartments Phase II,Rental -9% TCAC (LIHTC),In Construction,610 - 630 S. Saint Louis Street,Los Angeles,90033,97 senior units; Special needs,34.040731,-118.2163697
2015,Whittier Place Apartments,Rental -9% TCAC (LIHTC),In Construction,4125-4131 Whittier Blvd,County of LA,90023,25 special needs / family units; Special needs,NA,NA
2015,Eastlake Ave & Altura Walk Apts,Rental - LAHD HOME (Non-LIHTC),NA,2516 Eastlake Ave,Los Angeles,90031,5 family units,34.0765248,-118.2075764
2015,4th and Evergreen,Homeownership (Non-LIHTC),NA,2945 E 4th Street,Los Angeles,90023,3 -2 bedroom home,34.0371377,-118.2037715
2016,Eastlake,Rental (Non-LIHTC),NA,2516 Eastlake Ave & 3211-3213 ½ Altura Walk,Los Angeles,90031,5 family units,NA,NA
2017,Vallejo,Rental (Non-LIHTC),NA,2611 Vallejo St,Los Angeles,90032,17 multi family units,34.0708352,-118.2152677
2017,Cielito Lindo Apartments Phase I,Rental -9% TCAC (LIHTC); Mixed-use,Predevelopment,2415-2421 E 1st Street,Los Angeles,90033,50 family units / commerical bottom floor,12.974773,77.6243689
2019,Sun Valley Senior Veterans,Rental - 4% TCAC (LIHTC),NA,9041 N. Laurel Canyon Blvd,Los Angeles,91352,96 homeless senior veterans units; Special needs,34.2338036,-118.4057023
2019,"Cielito Lindo, Phase II",Rental - 9% TCAC (LIHTC),NA,2421-2431 E 1st Street,Los Angeles,90033,29 TAY/ family units; Special needs,NA,NA
2019,Community Owned Real Estate (CORE),Commerical - NMTC,NA,5467-5471 N Huntington Dr,Los Angeles,90032,commerical property; Community ownership,34.2031501,-117.3510849
2019,Community Owned Real Estate (CORE),Commerical - NMTC,NA,2900 Cesar Chavez,Los Angeles,90033,commerical property; Community ownership,37.7485925,-122.4079496
2019,Community Owned Real Estate (CORE),Commerical - NMTC,NA,4516-4528 Whittier & 915 S. Duncan,City/County of LA,90063,commerical property; Community ownership,NA,NA
2019,Community Owned Real Estate (CORE),Commerical - NMTC,NA,2208 Cesar Chavez,Los Angeles,90033,commerical property; Community ownership,45.5070881,-122.6228009
2019,Alhambra CHDO SF,Homeownership (Non-LIHTC),NA,910 Benito Ave,Alhambra,91801,1 single family,34.0814901,-118.1399551
2020,El Nuevo Amanecer Apartments,Rental - 4% TCAC (LIHTC),NA,3651 E 1st Street,County of LA,90023,61 homeless / family units; Special needs,32.7654868,-97.294669
2020,Rosa de Castilla,Rental - 9% TCAC (LIHTC),NA,4208 Huntington Drive South,Los Angeles,90032,85 homeless veterans / family units; Special needs,34.0785769,-118.1930368
2020,Community Owned Real Estate (CORE),Commerical - NMTC,NA,6120 Whittier Blvd,City/County of LA,90063,commerical property; Community ownership,34.0165666,-118.13955
