Year,Name,Type,Status,Address,City,ZIP,Deets,,,
2005,Las Casitas,Homeownership (Non-LIHTC),Completed,152 South Utah Street,Los Angeles,90033,39 detached townhomes,,,
2005,Lorena Terrace,Rental - 4% TCAC (LIHTC),Completed,611 South Lorena Street,Los Angeles,90023,49 family units,,,
2005,Los Arbolitos (Kern Villa),Rental - 9% TCAC (LIHTC),Completed,200 North Kern Avenue,County of LA,90022,49 family units,,,
2005,Playground,Rental (Non-LIHTC),Completed,1462 North Playground Street,Los Angeles,90033,5 family units (Managed by ELACC),,,
2005,Las Flores,Rental - 4% TCAC (LIHTC),Completed,1063 S. Eastman Avenue,County of LA,90023,25 special needs / family units; Special needs,,,
Phase II: 2005-2015,,,,,,,,,,
2008,Vista Dunes Courtyard Homes,Rental - 9% TCAC (LIHTC),Completed,44-950 Vista Dunes Lane,La Quinta,92253,80 family units,,,
2009,Las Mariposas,Rental (Non-LIHTC),,Various: 438 Evergreen (4 un); 2537 E. 3rd Street (5 un); 621 N. Cummings (4 un); 319 N. Fickett (3 un),Los Angeles,,16 units,,,
2011,Las Margaritas,Rental - 9% TCAC (LIHTC),Completed,319 Cummings Street,Los Angeles,90033,6 family units,,,
2011,Las Margaritas,Rental - 9% TCAC (LIHTC),Completed,137 N. Soto Street,Los Angeles,90033,20 family units,,,
2011,Las Margaritas,Rental - 9% TCAC (LIHTC),Completed,115 N. Soto Street,Los Angeles,90033,16 family units,,,
2011,Cuatro Vientos,Rental - 9% TCAC (LIHTC),Completed,5331 E. Huntington Drive,Los Angeles,90032,25 family units,,,
2012,Boyle Hotel - Cummings Block,Rental - 9% TCAC (LIHTC); Mixed-Use,Completed,1781 E. 1st Street,Los Angeles,90033,51 family units; Commercial bottom floor,,,
2012,Blades,Rental - LAHD NSP (Non-LIHTC),Completed,811 Blades Street,Los Angeles,90033,3 family units (Managed by ELACC),,,
2012,Alta Vista Apartments,Rental -9% TCAC (LIHTC),Completed,5051 E. 3rd Street,County of LA,90022,60 family units (Managed by CORE),,,
2013,Linda Vista Apartments Phase I,Rental -9% TCAC (LIHTC),Completed,610 - 630 S. Saint Louis Street,Los Angeles,90033,23 senior units,,,
2013,Casa Del Mexicano ,Commercial; Community Center; Mixed-Use,,529 Euclid Street,Los Angeles,90063,Community Facility,,,
2014,Small Multi Family,Rental (Non-LIHTC),Completed,207 S Boyle,Los Angeles,90033,2 units (No Longer Owned by ELACC),,,
2014,Guy Gabaldon Apartments,Rental - 9% TCAC (LIHTC); Mixed-Use,In Construction,3553 Beswick Street,Los Angeles,90033,33 homeless senior veterans units; Commercial; Special needs,,,
2014,Sol y Luna Apartments,Rental - 9% TCAC (LIHTC),In Construction,2415 & 2917-2935 E 1st Street,Los Angeles,90023,53 family units,,,
2015,Linda Vista Apartments Phase II,Rental -9% TCAC (LIHTC),In Construction,610 - 630 S. Saint Louis Street,Los Angeles,90033,97 senior units; Special needs,,,
2015,Whittier Place Apartments,Rental -9% TCAC (LIHTC),In Construction,4125-4131 Whittier Blvd,County of LA,90023,25 special needs / family units; Special needs,,,
2015,Eastlake Ave & Altura Walk Apts,Rental - LAHD HOME (Non-LIHTC),,2516 Eastlake Ave,Los Angeles,90031,5 family units,,,
2015,4th and Evergreen,Homeownership (Non-LIHTC),,2945 E 4th Street,Los Angeles,90023,3 -2 bedroom home,,,
2016,Eastlake,Rental (Non-LIHTC),,2516 Eastlake Ave & 3211-3213 ½ Altura Walk,Los Angeles,90031,5 family units,,,
2017,Vallejo,Rental (Non-LIHTC),,2611 Vallejo St,Los Angeles,90032,17 multi family units,,,
2017,Cielito Lindo Apartments Phase I,Rental -9% TCAC (LIHTC); Mixed-use,Predevelopment,2415-2421 E 1st Street,Los Angeles,90033,50 family units / commerical bottom floor,,,
2019,Sun Valley Senior Veterans,Rental - 4% TCAC (LIHTC),,9041 N. Laurel Canyon Blvd,Los Angeles,91352,96 homeless senior veterans units; Special needs,,,
2019,"Cielito Lindo, Phase II",Rental - 9% TCAC (LIHTC),,2421-2431 E 1st Street,Los Angeles,90033,29 TAY/ family units; Special needs,,,
2019,Community Owned Real Estate (CORE),Commerical - NMTC ,,5467-5471 N Huntington Dr,Los Angeles,90032,commerical property; Community ownership,,,
2019,Community Owned Real Estate (CORE),Commerical - NMTC,,2900 Cesar Chavez,Los Angeles,90033,commerical property; Community ownership,,,
2019,Community Owned Real Estate (CORE),Commerical - NMTC,,4516-4528 Whittier & 915 S. Duncan,City/County of LA,90063,commerical property; Community ownership,,,
2019,Community Owned Real Estate (CORE),Commerical - NMTC,,2208 Cesar Chavez,Los Angeles,90033,commerical property; Community ownership,,,
2019,Alhambra CHDO SF,Homeownership (Non-LIHTC),,910 Benito Ave,Alhambra,91801,1 single family,,,
2020,El Nuevo Amanecer Apartments,Rental - 4% TCAC (LIHTC),,3651 E 1st Street,County of LA ,90023,61 homeless / family units; Special needs,,,
2020,Rosa de Castilla,Rental - 9% TCAC (LIHTC),,4208 Huntington Drive South,Los Angeles,90032,85 homeless veterans / family units; Special needs,,,
2020,Community Owned Real Estate (CORE),Commerical - NMTC,,6120 Whittier Blvd,City/County of LA,90063,commerical property; Community ownership,,,
